symbol,side,opened_at,closed_at,lot,pnl,close_reason,loss_streak_after
USDJPY,BUY,2026-04-02T09:07:00.905000,2026-04-02T09:07:31.138000,0.01,0.037569268338500536,time_exit,0
USDJPY,BUY,2026-04-02T09:08:02.011000,2026-04-02T09:08:09.736000,0.01,-0.16610898812438554,stop_loss,1
USDJPY,BUY,2026-04-02T09:08:30.250000,2026-04-02T09:09:01.386000,0.02,-0.075143712349872,time_exit,2
USDJPY,BUY,2026-04-02T09:09:34.124000,2026-04-02T09:10:06.636000,0.04,0.05009329876919637,time_exit,0
USDJPY,BUY,2026-04-02T09:10:30.542000,2026-04-02T09:11:00.595000,0.01,0.012522540572913295,time_exit,0
USDJPY,BUY,2026-04-02T09:11:30.040000,2026-04-02T09:12:00.043000,0.01,-0.03757138563270356,time_exit,1
USDJPY,BUY,2026-04-02T09:12:30.462000,2026-04-02T09:12:53.989000,0.02,0.12521803592393205,stop_loss,0
USDJPY,BUY,2026-04-02T09:13:37.636000,2026-04-02T09:14:09.156000,0.01,-0.07513759572216908,time_exit,1
USDJPY,BUY,2026-04-02T09:14:30.021000,2026-04-02T09:15:00.563000,0.02,-0.07513383213849956,time_exit,2
USDJPY,BUY,2026-04-02T09:15:30.001000,2026-04-02T09:16:01.251000,0.04,-0.15026860513167858,time_exit,3
USDJPY,BUY,2026-04-02T09:19:00.167000,2026-04-02T09:19:30.641000,0.08,0.3005522647865567,time_exit,0
USDJPY,BUY,2026-04-02T09:20:01.935000,2026-04-02T09:20:11.230000,0.01,-0.1534978881792832,stop_loss,1
USDJPY,BUY,2026-04-02T09:20:33.401000,2026-04-02T09:21:01.207000,0.02,-0.3070169238880316,stop_loss,2
USDJPY,BUY,2026-04-02T10:20:02.993000,2026-04-02T10:20:38.377000,0.04,-0.07516677628452886,time_exit,3
USDJPY,BUY,2026-04-02T10:21:00.131000,2026-04-02T10:21:35.886000,0.08,-0.25056219893362996,time_exit,3
USDJPY,BUY,2026-04-02T10:22:00.418000,2026-04-02T10:22:34.544000,0.08,-0.45101478326306954,time_exit,3
USDJPY,BUY,2026-04-02T10:23:00.923000,2026-04-02T10:23:32.297000,0.08,-0.5011149808318962,time_exit,3
USDJPY,BUY,2026-04-02T10:24:00.591000,2026-04-02T10:24:34.001000,0.08,-0.25055905990217936,time_exit,3
USDJPY,BUY,2026-04-02T10:25:00.331000,2026-04-02T10:25:37.152000,0.08,0.0,time_exit,3
USDJPY,BUY,2026-04-02T10:26:03.152000,2026-04-02T10:26:34.036000,0.08,-0.25056219893362996,time_exit,3
USDJPY,BUY,2026-04-02T10:27:00.628000,2026-04-02T10:27:43.728000,0.08,0.100216718654568,time_exit,0
USDJPY,BUY,2026-04-02T10:28:01.444000,2026-04-02T10:28:35.724000,0.01,-0.018790399358532738,time_exit,1
USDJPY,BUY,2026-04-02T10:29:02.427000,2026-04-02T10:29:32.626000,0.02,-0.20046231621666383,time_exit,2
USDJPY,BUY,2026-04-02T10:31:10.652000,2026-04-02T10:31:48.890000,0.04,-0.4009321672894368,time_exit,3
USDJPY,BUY,2026-04-02T10:32:01.509000,2026-04-02T10:32:31.613000,0.08,0.10022425176379898,time_exit,0
